GeneID	GSM5534024	GSM5534025	GSM5534026	GSM5534027	GSM5534028	GSM5534029	GSM5534030	GSM5534031	GSM5534032	GSM5534033	GSM5534034	GSM5534035	GSM5534036	GSM5534037	GSM5534038	GSM5534039	GSM5534040	GSM5534041
100287102	0.8333	1.069	0.9099	0.631	0.7505	0.8456	0.6137	0.592	0.8663	0.7439	0.6475	0.9764	0.5067	0.8	0.748	0.6942	0.7057	0.6372
653635	27.64	25.67	32.96	23.07	20.22	24.56	23.58	19.64	23.3	30.51	23.03	27.6	24.91	24.91	27.59	24.08	24.47	24.25
102466751	7.184	5.993	26.79	10.95	4.909	10.27	4.26	4.109	12.9	11.82	10.07	26.6	7.965	9.718	10.6	13.8	9.352	26.32
107985730	0.6603	0.5891	0.3387	0.2768	0.08863	0.5193	0.359	0.2597	0.6865	0.3514	0.1591	0.1817	0.09152	0.189	0.1914	0	0.0985	0.3913
100302278	0.3218	0.6562	0.6602	0.3597	0.3455	0.3374	0.6997	0.3374	0.3345	0.3425	0.31	0.3542	0.3568	0	0	0	0	0.3814
645520	0	0	0	0	0	0	0	0	0	0	0.07573	0	0	0	0	0	0.0469	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.4991	0.3701	0.3816	0.4463	0.302	0.2188	0.4439	0.2759	0.3113	0.705	0.306	0.5593	0.5836	0.5817	0.5471	0.5858	0.5956	0.4625
729737	0.7788	0.6038	0.699	0.5713	0.4443	0.4594	0.4586	0.4849	0.3964	0.967	0.7113	0.5536	0.7106	0.8822	0.4515	0.6857	0.5615	0.4808
102725121	1.63	1.521	2.069	1.297	1.395	1.623	1.232	1.072	1.523	1.971	1.464	1.795	1.501	1.455	1.762	1.589	1.484	1.376
102723897	29.35	26.66	33.14	24.61	23.15	26.73	24.78	23.83	26.01	37.39	24.81	29.23	29.58	29.44	29.38	30.61	25.4	26.84
102465909	5.225	3.329	13.4	5.84	2.805	6.163	2.84	2.054	5.431	8.341	6.292	14.38	5.793	6.728	9.086	6.133	7.793	15.48
107985721	0.08206	0.08366	0.101	0.03669	0.07049	0.06883	0.03568	0.03442	0.1365	0.0524	0.01581	0.03613	0.0182	0	0.03806	0.01926	0.05875	0.01945
112268260	0.06062	0.07554	0.06909	0.08282	0.09402	0.04238	0.06591	0.0565	0.02801	0.08602	0.03245	0.08155	0.1344	0.06168	0.1093	0.05535	0.05627	0.05588
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	1.687	1.347	1.293	1.352	0.9493	0.9377	1.105	0.9484	0.7078	2.098	1.351	1.275	1.465	1.791	1.155	1.61	1.322	1.048
105378947	0	0.03865	0.01944	0	0.02035	0	0	0.01987	0.03941	0	0	0.02086	0.02102	0.0217	0.06593	0.0445	0	0
101928626	0	0	0	0	0	0	0	0	0	0.05923	0	0	0	0	0	0	0	0
113219467	3135	2163	1776	1735	1019	1660	1456	1342	1504	2253	3892	2124	1495	1240	1457	1197	951.7	1033
81399	0.03842	0.03133	0.03152	0.06012	0.04125	0.01611	0.02506	0.04028	0.01597	0.05724	0.04441	0.01691	0.03408	0.01759	0.02672	0.05411	0.03667	0.05464
